id_iglesia;address;name;coordenadas
2023937415;;Parroquia Nuestra Señora del Buen Consejo;-12.0675496, -77.007973
11174955334;;Iglesia Templo Apostólico de Las Asambleas de Dios;-12.0679931, -77.008243
442870979;José Díaz 333 Jesús María;Parroquia Santa Teresita del Niño Jesús;-12.0688218, -77.0342467
5368460151;;Gruta;-12.0693116, -77.065861
2023937498;;Parroquia San Juan Apóstol;-12.070037, -77.0716297
445528099;;Parroquia;-12.0700518, -77.0639877
2023937547;;Parroquia San Miguel Arcángel;-12.070241, -77.093498
833745214;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-12.0702986, -76.9972023
2023937538;;Parroquia San Lucas;-12.070404, -77.057854
835381703;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-12.0707436, -76.99674
2023937582;;Parroquia San Ricardo;-12.071222, -77.021835
4384211397;Jirón Carlos Arrieta Santa Beatriz;Shekina;-12.0722328, -77.0333576
2023937324;;Parroquia El Divino Maestro;-12.0724429, -77.014242
4341314068;;Iglesia Cristiana Comunidad de Fe;-12.0736608, -77.052973
436795391;;Iglesia Biblica Maranga;-12.0737835, -77.0986603
637187219;;Santuario Parroquial Virgen Del Carmen;-12.0739076, -77.0689685
833746961;Avenida Aviación La Victoria;La Iglesia de Jesucristo de los Santos de los Últimos Días;-12.074468, -77.0107631
435528798;Avenida Arnaldo Márquez Jesús María;Nuestra Señora del Sagrado Corazón;-12.0748503, -77.0502373
436601829;;Obispado Castranse del Peru;-12.0750023, -77.0361645
605774042;;Capilla Santa María de Maranga;-12.0751929, -77.0932131
835377893;;Iglesia del Nazareno;-12.0754146, -77.0054793
397540712;;Parroquia Cristo Rey;-12.0759056, -77.0319117
435497247;;Iglesia El Nazareño;-12.0759669, -77.0635176
495904983;Avenida Brasil Pueblo Libre;Monasterio de Religiosas Agustinas de la Encarnación;-12.0762166, -77.0551359
413030061;Avenida Brasil 1780 Pueblo Libre;Templo del Monasterio de Religiosas Agustinas de la Encarnación;-12.0766432, -77.055658
2023937330;;Parroquia Jesús Redentor;-12.076644, -77.104652
471312338;Ramiro Prialé La Victoria;Parroquia Virgen de La Merced;-12.0768903, -77.0138695
451459504;;Salón del Reino de los Testigos de Jehová;-12.0773296, -77.0506096
1301470755;Avenida Brasil 1864 Pueblo Libre;Alianza Cristiana y Misionera de Pueblo Libre;-12.0774568, -77.0562977
153125094;;Iglesia de Nuestra Señora de Guadalupe;-12.0775762, -77.0227847
4730007690;;IACYM;-12.0777227, -77.0904351
3063482676;;Parroquia Nuestra Señora de la Piedad;-12.0779323, -76.9922935
2023937613;;Parroquia Santa María Magdalena;-12.078152, -77.063301
831982235;;Parroquia San Juan Macías;-12.0784245, -77.0053741
2023937384;;Parroquia Nuestra Señora de la Caridad;-12.078582, -77.070999
4442989659;Federico Barreto La Victoria;La Iglesia de Jesucristo de los Santos de los Últimos Días;-12.0792666, -77.0202522
436925920;;Sukyo Mahikari;-12.0800403, -77.0763644
5941277985;Jirón Mariscal Miller 1524 Jesús María;OMP Obras Misionales Pontificias;-12.0802102, -77.0377638
2023937322;;Parroquia Cristo Sacerdote;-12.080287, -77.092659
2023937521;;Parroquia San Judas Tadeo;-12.080292, -77.079613
833748321;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-12.0809106, -77.0112945
435490931;;Iglesia Adventista del Séptimo Día Brasil;-12.0812776, -77.0584852
5225622423;;Iglesia A. De Dios. Pas. Antonio;-12.0814195, -77.0868767
436575810;Avenida Militar Lince;Betania;-12.08164, -77.0319972
4347547705;;Iglesia Cristiana Apostolica Pentecostal;-12.0817641, -77.0513849
445542944;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-12.0818327, -77.0862399
436479881;;Salón del Reino de los Testigos de Jehová;-12.0819339, -77.0341393
4344769632;Avenida Alvarez de Arenales 2201;Iglesia Cristiana Manmin;-12.0819872, -77.0358812
401494459;Avenida Militar Lince;Parroquia Santa Beatriz;-12.0824677, -77.0319703
436301902;;Parroquia San Antonio de Padua;-12.0827815, -77.052528
459607461;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-12.0830115, -77.0365895
436279372;Avenida General César Canevaro Lince;Show de la Fe;-12.0834986, -77.0366159
1639104065;;Sanctuario de Nuestra Señora del Sagrado Corazon;-12.0847193, -77.0443942
4360892689;;Conferencia episcopal peruana;-12.084849, -77.0553417
449461551;Avenida San Eugenio La Victoria;Colegio parroquial San Nolberto;-12.0852891, -77.0180631
2023937551;;Parroquia San Norberto;-12.0853647, -77.018334
3620430015;Jirón Risso Lince;Comunidad Cristiana Agua Viva;-12.0854754, -77.0336629
436284936;;Parroquia Santa Rosa de Lima;-12.0865479, -77.0389875
4750191722;;iglesia Casa de Oración;-12.0866606, -77.0706671
291821665;;Parroquia Inmaculado Corazón de María;-12.0868931, -77.0689924
397696561;Avenida Arequipa 2356 Lima;Iglesia Alianza Cristiana y Misionera de Lince;-12.0875268, -77.034435
2023937340;;Parroquia María Madre de Dios;-12.087688, -77.088211
413035084;;"Iglesia de Dios ""Templo Vida Nueva""";-12.0879166, -77.064785
2023937605;;Parroquia Santa María Madre de la Iglesia;-12.088354, -77.056
435182348;;Iglesia de la Paz Coral 3 San Miguel;-12.088794, -77.0865034
465799367;Avenida Cesar Vallejo 455 Lince;Sūkyō Mahikari;-12.0892863, -77.0368756
435193293;;Iglesia Biblica Bautista;-12.0895147, -77.0839198
439196561;Avenida de las Artes Norte 860 san Borja;Parroquia San Francisco de Borja;-12.0905225, -76.9981213
435851341;Avenida Javier Prado Este 671 Lima;Emmanuel Iglesia Bíblica;-12.0909027, -77.0264127
2023937320;;Iglesia Nuestra Señora Del Carmen;-12.0909506, -77.0806867
598386907;;Parroquia Nuestra Señora Del Carmen de San Miguel;-12.0910731, -77.0806605
4439807076;Enrique Echenique Magdalena del Mar;Religiosas franciscana de Inmaculada Concepción;-12.0911589, -77.0748326
12591213808;;Iglesia Morada De Dios;-12.0918858, -77.0742687
2023937474;;Parroquia San Felipe Apóstol;-12.0921676, -77.0485617
401491773;Avenida Arequipa 2745 San Isidro;Iglesia Mision Familiar Internacional;-12.0925337, -77.0329749
436312648;;Parroquia San Juan María Vianney;-12.0927831, -77.061077
291831411;Jirón Grau 525;Parroquia Sagrado Corazón de Jesús;-12.0928625, -77.0735881
436928168;Victor Larco Herrera 815 Magdalena del Mar;Templo Cristo Vive;-12.0929502, -77.0677583
436924423;Avenida Antonio Miro Quesada Magdalena del Mar;La Iglesia de Jesucristo de los Santos de los Últimos Días;-12.0931257, -77.0588909
5087410771;Jirón Ricardo Rey Basadre 158 Magdalena del Mar;Colegio Parroquial San Juan María Vianney;-12.0935797, -77.0679914
1315440869;Jirón Tacna 556;Asociación Islámica del Perú;-12.0938762, -77.0721275
588817553;Calle Las Camelias 350 San Isidro;Parroquia Virgen de La Salud;-12.0941757, -77.0294048
437497172;;Misión Luterana;-12.0953027, -77.0034349
2023937530;;Parroquia San Leopoldo;-12.095488, -76.981201
12590131757;;Capilla Santísima Niña María;-12.0955715, -77.0729179
401491750;Avenida Victor Andrés Belaunde 160 San Isidro;Parroquia Virgen del Pilar;-12.0961006, -77.0358012
12590198446;;Nuestra Señora de la paz;-12.0965116, -77.073301
4143633289;Bonnemaison Magdalena del Mar;Casa de Espiritualidad San José de Cluny;-12.0972085, -77.0682658
1361163431;;Nuestra Señora De Lourdes;-12.09793, -77.0716309
439031081;Avenida Guardia Civil 787 San Borja;Parroquia Nuestra Señora de Gracia;-12.0988423, -77.0116385
2023937622;Calle Los Cisnes 321 Lima;Parroquia Santa Mónica;-12.100424, -77.023842
4214532712;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-12.100776, -77.0253877
1427345997;;Parroquia Nuestra Señora de la Medalla Milagrosa;-12.101985, -77.05512
575674113;;Capilla Juan XXIII;-12.1078596, -76.9991461
435355899;Avenida Santa Cruz Miraflores;Iglesia Anglicana El Buen Pastor;-12.1078975, -77.034616
416297424;;Parroquia Santísimo Nombre de Jesús;-12.1080811, -76.9828782
2023937370;Calle José Álvarez Calderón San Borja;Parroquia Nuestra Señora de la Alegria;-12.109162, -77.003998
405570134;Avenida Los Conquistadores 1293 San Isidro;Parroquia Santa María Reina;-12.1094339, -77.0366288
436738985;Avenida Paseo de la República Miraflores;Iglesia Evangelica Coreana;-12.1095624, -77.0268384
435319550;Avenida General Córdova Miraflores;Parroquia Nuestra Señora de Belén;-12.109743, -77.0472998
435710340;;Iglesia Bautista Ebenezer;-12.111899, -77.0315675
435338677;Avenida Comandante Espinar 754 San Isidro;Iglesia Adventista del Séptimo Día de Miraflores;-12.1121394, -77.0364867
12614192098;;Iglesia Cristiana La Puerta;-12.1124906, -77.0214159
397558426;;Parroquia San Vicente de Paul;-12.1129911, -77.0246011
7563142672;Avenida Angamos Oeste 1155 Miraflores;Union Church of Lima;-12.1134072, -77.0408459
4949302282;Jirón Francisco Moreno 694 Surquillo;Las Buenas Nuevas;-12.1149751, -77.0242683
2023937389;;Parroquia Nuestra Señora de la Evangelización;-12.11499, -77.001297
436941375;;Iglesia Cristiana Evangélica Pentecostal;-12.115185, -77.0134309
815665503;Calle 27 de Noviembre 375 Miraflores;SSM (Casa de la Diosa Madre);-12.1164468, -77.0412172
570084848;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-12.1170252, -77.0078695
435189311;;Parroquia Nuestra Señora de la Asunción;-12.1172409, -77.0423122
653273559;;Parroquia Alemana San José;-12.1182487, -77.0309716
438662237;;Capilla de San Atanacio de Pegregal;-12.1183695, -76.9972497
436940006;Avenida Sergio Bernales Surquillo;Iglesia Adventista El Septimo Dia;-12.1184407, -77.0151102
432966650;;Iglesia La Reparación;-12.1200189, -77.0320904
435382133;;La Iglesia de Jesucristo de los Santos de los Últimos Días;-12.1207725, -77.0392695
436300784;;Iglesia Metodista de Mireflores;-12.1247733, -77.0257148
434795519;Avenida Alfredo Benavides Lima;Alianza Cristiana Misionera de Miraflores;-12.1270711, -77.0151769
2023937422;;Parroquia Nuestra Señora del Carmen - Miraflores;-12.1280424, -77.0222773
436597631;Calle Padre Amelio Plasencia 135 Miraflores;Parroquia Santa Rita de Casia;-12.1281908, -77.0114368
2176685674;;Centro Parroquial Carmelitas;-12.1288148, -77.0226149
435345827;Avenida Vasco Nuñez de Balboa Miraflores;Parroquia Nuestra Señora de Fátima;-12.1337788, -77.0278453
