C_MODULAR;CENTRO_EDUCATIVO;NIVEL;TIPO;DIRECCION;DISTRITO;UBIGEO;COORDENADAS;TOTAL
338012;1021 REPUBLICA FEDERAL DE ALEMANIA;Primaria;Pública de gesti¢n directa;AVENIDA BELISARIO SOSA PELAEZ 1550 MATEO SALADO - LIMA CERCADO;LIMA;150101;-12.0644,-77.06369;293
338129;1027 REPUBLICA DE NICARAGUA;Primaria;Pública de gesti¢n directa;JIRON ANCASH 1379 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04557,-77.01448;182
338145;1028 REPUBLICA ARGENTINA;Primaria;Pública de gesti¢n directa;JIRON MIROQUESADA 1340 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05314,-77.01645;120
338228;1032 REPUBLICA DEL BRASIL;Primaria;Pública de gesti¢n directa;JIRON CANGALLO 731 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.05586,-77.02194;281
338301;1036 REPUBLICA DE COSTA RICA;Primaria;Pública de gesti¢n directa;JIRON DESAGUADERO 490 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04939,-77.01234;480
338327;1037 RAMON ESPINOZA;Primaria;Pública de gesti¢n directa;JIRON ANCASH 1254 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04673,-77.01667;247
338343;1038 MARIA PARADO DE BELLIDO;Primaria;Pública de gesti¢n directa;JIRON ANCASH 729 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.04723,-77.02355;517
338541;1048 VIRGEN PURISIMA;Primaria;Pública de gesti¢n directa;JIRON ANCASH 1529 MZ P-21 JARDIN ROSA DE SANTA MARIA - LIMA CERCADO;LIMA;150101;-12.044165,-77.014472;168
338566;1049 JUANA ALARCO DE DAMMERT;Primaria;Pública de gesti¢n directa;JIRON CUZCO 426 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.05116,-77.03003;320
338574;VIRGO POTENS;Primaria;Pública de gesti¢n privada;JIRON PUNO 1731 BARRIOS ALTOS - LIMA CERCADO;LIMA;150101;-12.055,-77.01568;752
338954;1145 REPUBLICA DE VENEZUELA;Primaria;Pública de gesti¢n directa;JIRON CALLAO 773 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.04199,-77.03806;265
338970;1146 REPUBLICA DEL PARAGUAY;Primaria;Pública de gesti¢n directa;AVENIDA EMANCIPACION 731 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.04518,-77.03971;344
338996;1147 ANDRES ROSALES VALENCIA;Primaria;Pública de gesti¢n directa;JIRON CAÑETE 614 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.04637,-77.04037;190
339036;1148 JUANA INFANTES VERA;Primaria;Pública de gesti¢n directa;BLOCK 52 A UNIDAD VECINAL 3 - LIMA CERCADO;LIMA;150101;-12.05351,-77.08315;357
339051;1149 SAGRADO CORAZON DE JESUS;Primaria;Pública de gesti¢n directa;JIRON COLONIAL 265 PARQUE UNION - LIMA CERCADO;LIMA;150101;-12.046434,-77.044921;500
339077;1150 ABRAHAM ZEA CARREON;Primaria;Pública de gesti¢n directa;AVENIDA MORALES DUAREZ 2057 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.0352,-77.06873;729
339119;1152-108 DOS DE MAYO;Primaria;Pública de gesti¢n directa;JIRON GENERAL BUENDIA 519 2 DE MAYO - LIMA CERCADO;LIMA;150101;-12.03669,-77.05004;360
339135;1153 REPUBLICA DE CANADA;Primaria;Pública de gesti¢n directa;AVENIDA MORALES DUAREZ 342 1 DE MAYO - LIMA CERCADO;LIMA;150101;-12.03806,-77.04818;333
339150;1154 NUESTRA SEÑORA DEL CARMEN;Primaria;Pública de gesti¢n directa;JIRON ELVIRA GARCIA Y GARCIA S/N MIRONES - LIMA CERCADO;LIMA;150101;-12.0526,-77.06866;486
339192;1156 JOSE SEBASTIAN BARRANCA LOVERA;Primaria;Pública de gesti¢n directa;JIRON HUARANCAYO 168 CONDE DE LA VEGA BAJA - LIMA CERCADO;LIMA;150101;-12.03836,-77.05367;200
339218;1157 JULIO CESAR TELLO ROJAS;Primaria;Pública de gesti¢n directa;AVENIDA JOAQUIN CAPELLO 3110 MIRONES BAJOS - LIMA CERCADO;LIMA;150101;-12.03722,-77.0801;352
339275;1160 JOSE FAUSTINO SANCHEZ CARRION;Primaria;Pública de gesti¢n directa;JIRON REPUBLICA DEL ECUADOR 605 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.0427,-77.0561;159
339291;1161;Primaria;Pública de gesti¢n directa;CALLE CRESPO Y CASTILLO MIRONES ALTOS - LIMA CERCADO;LIMA;150101;-12.03672,-77.06077;291
339317;1162 DIVINO NIÑO JESUS;Primaria;Pública de gesti¢n directa;JIRON MOQUEGUA 245 LIMA CERCADO - LIMA CERCADO;LIMA;150101;-12.049,-77.03559;438
339333;1163 JOSE MARIA ARGUEDAS ALTAMIRANO;Primaria;Pública de gesti¢n directa;JIRON REPUBLICA DEL ECUADOR 295 EL PLANETA - LIMA CERCADO;LIMA;150101;-12.0394,-77.05658;454
339374;1165 HOLANDA;Primaria;Pública de gesti¢n directa;JIRON HOLANDA 2276 CHACRA RIOS NORTE - LIMA CERCADO;LIMA;150101;-12.051252,-77.063076;151
339390;1166 LIBERTADOR SIMON BOLIVAR;Primaria;Pública de gesti¢n directa;JIRON RAMON CARCAMO 195 CONDE DE LA VEGA BAJA - LIMA CERCADO;LIMA;150101;-12.040281,-77.051309;280
